N	CPU	SCAN	FULL
756000	0.003386	0.000434	0.002614
757000	0.003507	0.000463	0.003011
758000	0.003513	0.000436	0.002635
759000	0.003575	0.000435	0.002636
760000	0.003372	0.000432	0.002584
761000	0.003560	0.000412	0.002638
762000	0.003464	0.000429	0.002614
763000	0.003445	0.000437	0.002621
764000	0.003447	0.000455	0.002666
765000	0.003499	0.000452	0.002684
766000	0.003477	0.000427	0.002673
767000	0.003509	0.000435	0.002695
768000	0.004255	0.000441	0.002515
769000	0.003780	0.000435	0.002802
770000	0.003678	0.000437	0.002679
771000	0.003843	0.000444	0.002747
